Plot_ID,Site,Region,Latitude,Longitude,Record_ID,Survey_Date,Observer,Habitat_Type,Species,Count,Cover_Percent,Notes
P01,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-001,2026-02-16,J. Wilson,Riparian,Coprosma robusta,14,67.4,near track
P02,Urban Park,Canterbury,-44.4,171.25,OBS-002,2026-01-15,A. Brown,Modified grassland,Juncus edgariae,13,57.6,flowering
P23,Hilltop Reserve,Otago,-45.87,170.5,OBS-003,2026-03-22,A. Brown,Grassland,carex secta,13,60.8,after rain
P11,Urban Park,Canterbury,-44.4,171.25,OBS-004,2026-02-16,A. Brown,Modified grassland,Poa cita,14,68.5,near track
P04,Urban Park,Canterbury,-44.4,171.25,OBS-005,2026-02-26,A. Brown,Modified grassland,Schoenoplectus tabernaemontani,8,46.3,standing water
P13,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-006,2026-01-22,L. Chen,Riparian,Festuca rubra,8,61.8,windy
P23,Hilltop Reserve,Otago,-45.87,170.5,OBS-007,2026-01-20,A. Brown,Grassland,Carex secta,,0,edge of plot
P13,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-008,2026-02-16,L. Chen,Riparian,Typha orientalis,6,16.2,open area
P22,Hilltop Reserve,Otago,-45.87,170.5,OBS-009,2026-02-15,J. Wilson,Grassland,,22,19.7,after rain
P06,Hilltop Reserve,Otago,-45.87,170.5,OBS-010,2026-03-12,J. Wilson,Grassland,Cortaderia selloana,9,81.7,edge of plot
P25,Forest Margin,West Coast,-42.45,171.21,OBS-011,2026-01-19,S. Taylor,Forest edge,Coprosma robusta,18,35%,partial shade
P07,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-012,2026-02-21,S. Taylor,Riparian,Coprosma robusta,7,13.7,after rain
P05,Lake Edge Walk,Southland,-46.15,168.35,OBS-013,2026-02-12,J. Wilson,Wetland,Agrostis capillaris,6,25.5,grazed
P12,Urban Park,Canterbury,-44.4,171.25,OBS-014,2026-02-09,A. Brown,wet land,Poa cita,8,31.4,near track
P21,Coastal Dune Track,Northland,-35.92,174.45,OBS-015,2026-02-01,S. Taylor,Dune,Austroderia richardii,7,5.1,grazed
P17,Estuary Boardwalk,Wellington,-41.31,174.79,OBS-016,2026-02-13,A. Brown,Saltmarsh,Festuca rubra,12,29.4,flowering
P25,Lake Edge Walk,Southland,-46.15,168.35,OBS-017,2026-02-24,A. Brown,Wetland,Juncus edgariae,10,44.4,partial shade
P17,Coastal Dune Track,Northland,-35.92,174.45,OBS-018,2026-01-25,J. Wilson,Dune,Juncus edgariae,1,2.1,windy
P05,Hilltop Reserve,Otago,-45.87,170.5,OBS-019,2026-02-28,J. Wilson,Grassland,Austroderia richardii,22,78.3,
P16,Forest Margin,West Coast,-42.45,171.21,OBS-020,2026-01-14,L. Chen,Forest edge,Juncus edgariae,26,12.5,edge of plot
P08,Waimate Wetland,Canterbury,-44.73,171.05,OBS-021,2026-01-22,J. Wilson,Wetland,Juncus edgariae,10,0,after rain
P22,Coastal Dune Track,Northland,-35.92,174.45,OBS-022,13/02/2026,J. Wilson,Dune,Festuca rubra,16,55.2,grazed
P18,Hilltop Reserve,Otago,-45.87,170.5,OBS-023,2026-02-06,L. Chen,Grassland,Agrostis capillaris,2,98.5,standing water
P04,Estuary Boardwalk,Wellington,-41.31,174.79,OBS-024,2026-02-12,J. Wilson,Saltmarsh,Coprosma robusta,13,33.8,edge of plot
P01,Hilltop Reserve,Otago,-45.87,170.5,OBS-025,2026-01-21,A. Brown,Grassland,Agrostis capillaris,8,20.4,open area
P17,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-026,2026-02-11,M. Singh,Riparian,Phormium tenax,9,18.7,windy
P08,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-027,2026-03-13,S. Taylor,Saltmarsh,Austroderia richardii,9,37.4,open area
P14,Urban Park,Canterbury,-44.4,171.25,OBS-028,2026-03-12,A. Brown,Modified grassland,Schoenoplectus tabernaemontani,10,0,
P24,Urban Park,Canterbury,-44.4,171.25,OBS-029,2026-02-24,M. Singh,Modified grassland,Austroderia richardii,15,19.3,flowering
P05,Estuary Boardwalk,Wellington,-41.31,174.79,OBS-030,2026-03-07,A. Brown,Saltmarsh,Poa cita,10,48.4,standing water
P02,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-031,2026-03-22,,Riparian,Schoenoplectus tabernaemontani,15,32.9,after rain
P16,Urban Park,Canterbury,-44.4,171.25,OBS-032,2026-03-14,M. Singh,Modified grassland,Coprosma robusta,23,0,grazed
P13,Waimate Wetland,Canterbury,-44.73,171.05,OBS-033,2026-02-14,S. Taylor,Wetland,Trifolium repens,13,8.3,flowering
P05,Estuary Boardwalk,Wellington,-41.31,174.79,OBS-034,2026-02-05,J. Wilson,Saltmarsh,Phormium tenax,12,39.5,
P02,Forest Margin,West Coast,-42.45,171.21,OBS-035,2026-01-18,J. Wilson,Forest edge,Plantago lanceolata,0,39.2,after rain
P17,Waimate Wetland,Canterbury,-44.73,171.05,OBS-036,2026-01-22,M. Singh,Wetland,Schoenoplectus tabernaemontani,16,,grazed
P19,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-037,2026-02-12,S. Taylor,Riparian,Plantago lanceolata,2,14.9,windy
P09,Forest Margin,West Coast,-42.45,171.21,OBS-038,2026-02-07,S. Taylor,Forest edge,Holcus lanatus,10,16.1,after rain
P15,Lake Edge Walk,Southland,-46.15,168.35,OBS-039,2026-02-21,S. Taylor,Wetland,Trifolium repens,12,23.5,windy
P03,Riverbend Reserve,Canterbury,-44.39,171.24,OBS-040,2026-03-21,L. Chen,Riparian,Coprosma robusta,7,31.6,near track
